_sentence,_receivers,sentence_id,time,latitude,longitude, altitude ,speed,Speed,Speed,heading,satellites,battery,Battery,gps_sentances,image_id,ssdv_packet_count,,,
"$$KEW02,6,10:02:27,52.462650,-0.991550,150,3,0,7,2637,408,686,50*509C",G7PMO/P,6,10:02:27,52.46265,-0.99155, 150 ,3,,,0,7,2.64,26.4,408,686,50,,,
"$$KEW02,7,10:03:03,52.462643,-0.991570,148,0,0,12,2824,448,686,60*A1F8",G7PMO/P,7,10:03:03,52.462643,-0.99157, 148 ,0,,,0,12,2.82,28.2,448,686,60,,,
"$$KEW02,8,10:03:33,52.462917,-0.991785,149,279,350,12,2834,490,686,70*A10F",G7PMO/P,8,10:03:33,52.462917,-0.991785, 149 ,279,2.79,,350,12,2.83,28.3,490,686,70,,,
"$$KEW02,9,10:04:07,52.463066,-0.992255,151,266,264,14,2844,12,687,0*EE31",G7PMO/P,9,10:04:07,52.463066,-0.992255, 151 ,266,2.66,2.703333333,264,14,2.84,28.4,12,687,0,,,
"$$KEW02,3,10:12:38,52.463055,-0.992374,149,0,0,10,2853,200,689,20*A7D9",G7PMO/P,3,10:12:38,52.463055,-0.992374, 149 ,0,2.66,2.6925,0,10,2.85,28.5,200,689,20,,,
"$$KEW02,17,10:21:06,52.463020,-0.992547,151,0,333,12,2863,127,691,30*654B",G7PMO/P,17,10:21:06,52.46302,-0.992547, 151 ,0,2.66,2.686,333,12,2.86,28.6,127,691,30,,,
"$$KEW02,51,10:39:10,52.463036,-0.992550,149,0,305,10,2858,127,697,30*A14D",G7PMO/P,51,10:39:10,52.463036,-0.99255, 149 ,0,2.66,2.66,305,10,2.86,28.6,127,697,30,,,
"$$KEW02,52,10:39:46,52.463036,-0.992547,149,0,305,11,2893,166,697,40*85D9",G7PMO/P,52,10:39:46,52.463036,-0.992547, 149 ,0,2.66,3.102,305,11,2.89,28.9,166,697,40,,,
"$$KEW02,59,10:43:34,52.462265,-0.991392,423,487,117,12,2863,136,698,30*BEBD","G7PMO_PiRx,G7PMO/P",59,10:43:34,52.462265,-0.991392, 423 ,487,4.87,3.128,117,12,2.86,28.6,136,698,30,,,
"$$KEW02,60,10:44:04,52.462009,-0.990643,487,279,100,11,2893,178,698,40*82FA","G7PMO_PiRx,G7PMO/P,G6GZH",60,10:44:04,52.462009,-0.990643, 487 ,279,2.79,3.698,100,11,2.89,28.9,178,698,40,,,
"$$KEW02,61,10:44:31,52.461784,-0.989910,545,551,102,12,2863,218,698,50*8BBB","G7PMO/P,G7PMO_PiRx,G6GZH",61,10:44:31,52.461784,-0.98991, 545 ,551,5.51,3.86,102,12,2.86,28.6,218,698,50,,,
"$$KEW02,62,10:45:17,52.461712,-0.988842,652,347,82,12,2863,14,699,0*B67A","G7PMO_PiRx,G7PMO/P,G8KNN",62,10:45:17,52.461712,-0.988842, 652 ,347,3.47,3.626,82,12,2.86,28.6,14,699,0,,,
"$$KEW02,63,10:45:47,52.461594,-0.988489,696,149,17,11,2883,57,699,10*61CE","G7PMO_PiRx,G7PMO/P,G6GZH,G8KNN",63,10:45:47,52.461594,-0.988489, 696 ,149,1.49,3.164,17,11,2.88,28.8,57,699,10,,,
"$$KEW02,64,10:46:11,52.461620,-0.988530,745,256,167,12,2819,101,699,20*479D","G7PMO_PiRx,G8KNN",64,10:46:11,52.46162,-0.98853, 745 ,256,2.56,3.408,167,12,2.82,28.2,101,699,20,,,
"$$KEW02,65,10:46:44,52.462090,-0.988841,814,401,330,11,2863,141,699,30*7DDF","G7PMO_PiRx,G6GZH",65,10:46:44,52.46209,-0.988841, 814 ,401,4.01,3.546,330,11,2.86,28.6,141,699,30,,,
"$$KEW02,66,10:47:14,52.462814,-0.989254,874,620,12,10,2873,181,699,40*6B1B","G7PMO_PiRx,G6GZH",66,10:47:14,52.462814,-0.989254, 874 ,620,6.2,4.076,12,10,2.87,28.7,181,699,40,,,
"$$KEW02,67,10:47:40,52.463467,-0.989627,932,612,348,10,2839,224,699,50*3E2C","G7PMO_PiRx,G6GZH",67,10:47:40,52.463467,-0.989627, 932 ,612,6.12,5.002,348,10,2.84,28.4,224,699,50,,,
"$$KEW02,68,10:48:21,52.464340,-0.990453,1036,0,0,11,2804,8,700,0*1B95","G7PMO_PiRx,G6GZH",68,10:48:21,52.46434,-0.990453," 1,036 ",0,6.12,5.908,0,11,2.8,28,8,700,0,,,
"$$KEW02,69,10:48:52,52.464947,-0.990849,1091,709,321,10,2873,50,700,10*CC61","G7PMO_PiRx,G6GZH",69,10:48:52,52.464947,-0.990849," 1,091 ",709,7.09,6.392,321,10,2.87,28.7,50,700,10,,,
"$$KEW02,70,10:49:21,52.465546,-0.990798,1143,643,358,11,2834,94,700,20*28B7","G7PMO_PiRx,G8KNN",70,10:49:21,52.465546,-0.990798," 1,143 ",643,6.43,6.346,358,11,2.83,28.3,94,700,20,,,
"$$KEW02,71,10:49:51,52.466278,-0.990291,1228,597,28,9,2839,135,700,30*CCD4","G7PMO_PiRx,G8KNN",71,10:49:51,52.466278,-0.990291," 1,228 ",597,5.97,6.036,28,9,2.84,28.4,135,700,30,,,
"$$KEW02,72,10:50:18,52.466576,-0.989951,1259,457,51,11,2868,178,700,40*FC4D","G7PMO_PiRx,G8KNN",72,10:50:18,52.466576,-0.989951," 1,259 ",457,4.57,6.606,51,11,2.87,28.7,178,700,40,,,
"$$KEW02,73,10:50:51,52.467232,-0.989777,1347,897,5,11,2844,218,700,50*AD3B","G7PMO_PiRx,G6GZH,G8KNN",73,10:50:51,52.467232,-0.989777," 1,347 ",897,8.97,6.81,5,11,2.84,28.4,218,700,50,,,
"$$KEW02,74,10:51:18,52.467941,-0.989574,1421,811,358,10,2814,258,700,60*2914","G7PMO_PiRx,G8KNN,G6GZH",74,10:51:18,52.467941,-0.989574," 1,421 ",811,8.11,6.45,358,10,2.81,28.1,258,700,60,,,
"$$KEW02,75,10:51:48,52.468685,-0.989446,1475,463,21,10,2834,298,700,70*F040","G7PMO_PiRx,G6GZH,G8KNN",75,10:51:48,52.468685,-0.989446," 1,475 ",463,4.63,5.856,21,10,2.83,28.3,298,700,70,,,
"$$KEW02,76,10:52:20,52.469173,-0.989493,1540,300,354,10,2853,342,700,80*6B3F","G7PMO_PiRx,G6GZH",76,10:52:20,52.469173,-0.989493," 1,540 ",300,3,5.442,354,10,2.85,28.5,342,700,80,,,
"$$KEW02,77,10:52:51,52.469555,-0.989017,1578,250,351,10,2834,384,700,90*7813","G7PMO_PiRx,G8KNN,G6GZH",77,10:52:51,52.469555,-0.989017," 1,578 ",250,2.5,4.512,351,10,2.83,28.3,384,700,90,,,
"$$KEW02,78,10:53:18,52.469975,-0.989345,1654,432,45,11,2844,424,700,100*862D","G7PMO_PiRx,G6GZH",78,10:53:18,52.469975,-0.989345," 1,654 ",432,4.32,3.754,45,11,2.84,28.4,424,700,100,,,
"$$KEW02,79,10:53:55,52.470448,-0.988817,1742,0,0,11,2853,6,701,0*C553","G7PMO_PiRx,G6GZH",79,10:53:55,52.470448,-0.988817," 1,742 ",0,4.32,3.692,0,11,2.85,28.5,6,701,0,,,
"$$KEW02,80,10:54:26,52.470749,-0.988159,1805,0,0,9,2873,53,701,10*1889","G7PMO_PiRx,G8KNN,G6GZH",80,10:54:26,52.470749,-0.988159," 1,805 ",0,4.32,4.136,0,9,2.87,28.7,53,701,10,,,
"$$KEW02,81,10:54:55,52.470982,-0.987294,1866,522,109,10,2853,95,701,20*CB3F","G7PMO_PiRx,G6GZH,G8KNN",81,10:54:55,52.470982,-0.987294," 1,866 ",522,5.22,5.116,109,10,2.85,28.5,95,701,20,,,
"$$KEW02,82,10:55:25,52.471027,-0.986252,1934,740,93,11,2824,138,701,30*A318","G7PMO_PiRx,G6GZH,G8KNN",82,10:55:25,52.471027,-0.986252," 1,934 ",740,7.4,5.472,93,11,2.82,28.2,138,701,30,,,
"$$KEW02,83,10:55:55,52.470860,-0.984915,2010,610,128,11,2819,182,701,40*806F","G7PMO_PiRx,G8KNN,G6GZH",83,10:55:55,52.47086,-0.984915," 2,010 ",610,6.1,5.902,128,11,2.82,28.2,182,701,40,,,
"$$KEW02,84,10:56:25,52.470432,-0.984062,2076,647,163,11,2868,222,701,50*CCE2","G7PMO_PiRx,G6GZH,G8KNN",84,10:56:25,52.470432,-0.984062," 2,076 ",647,6.47,5.954,163,11,2.87,28.7,222,701,50,,,
"$$KEW02,85,10:56:49,52.470104,-0.983481,2119,458,127,11,2819,266,701,60*AE82","G7PMO_PiRx,G6GZH",85,10:56:49,52.470104,-0.983481," 2,119 ",458,4.58,5.826,127,11,2.82,28.2,266,701,60,,,
"$$KEW02,86,10:57:29,52.469723,-0.982893,2211,0,0,11,2799,10,702,0*665D","G7PMO_PiRx,G6GZH,G8KNN",86,10:57:29,52.469723,-0.982893," 2,211 ",0,4.58,4.688,0,11,2.8,28,10,702,0,,,
"$$KEW02,87,10:57:59,52.469284,-0.982772,2235,171,214,10,2844,53,702,10*22EC","G7PMO_PiRx,G8KNN,G6GZH",87,10:57:59,52.469284,-0.982772," 2,235 ",171,1.71,4.468,214,10,2.84,28.4,53,702,10,,,
"$$KEW02,88,10:58:26,52.469116,-0.983107,2313,500,237,11,2809,93,702,20*3ABE","G7PMO_PiRx,G6GZH,g8fjg-5pi",88,10:58:26,52.469116,-0.983107," 2,313 ",500,5,3.834,237,11,2.81,28.1,93,702,20,,,
"$$KEW02,89,10:58:56,52.468891,-0.983720,2384,330,229,11,2809,134,702,30*CA4C","G7PMO_PiRx,G6GZH,g8fjg-5pi",89,10:58:56,52.468891,-0.98372," 2,384 ",330,3.3,3.78,229,11,2.81,28.1,134,702,30,,,
"$$KEW02,90,10:59:26,52.468697,-0.984506,2466,431,236,11,2834,175,702,40*03FA","G7PMO_PiRx,G6GZH,g8fjg-5pi",90,10:59:26,52.468697,-0.984506," 2,466 ",431,4.31,4.032,236,11,2.83,28.3,175,702,40,,,
"$$KEW02,91,10:59:53,52.468494,-0.985366,2526,584,233,11,2804,216,702,50*5BC9","G7PMO_PiRx,G8KNN,g8fjg-5pi,G6GZH",91,10:59:53,52.468494,-0.985366," 2,526 ",584,5.84,4.858,233,11,2.8,28,216,702,50,,,
"$$KEW02,92,11:00:30,52.467899,-0.986796,2621,0,0,11,2785,6,703,0*5E9F","G7PMO_PiRx,g8fjg-5pi",92,11:00:30,52.467899,-0.986796," 2,621 ",0,5.84,5.026,0,11,2.79,27.9,6,703,0,,,
"$$KEW02,93,11:01:01,52.467342,-0.987681,2660,100,258,9,2799,51,703,10*2984","G7PMO_PiRx,G6GZH,g8fjg-5pi",93,11:01:01,52.467342,-0.987681," 2,660 ",100,5.84,5.73,258,9,2.8,28,51,703,10,,,
"$$KEW02,94,11:01:31,52.466568,-0.988546,2731,682,225,10,2834,91,703,20*BB96","G7PMO_PiRx,g8fjg-5pi",94,11:01:31,52.466568,-0.988546," 2,731 ",682,6.82,5.922,225,10,2.83,28.3,91,703,20,,,
"$$KEW02,95,11:02:01,52.465855,-0.989184,2816,527,181,11,2795,134,703,30*DE32","G7PMO_PiRx,G8KNN,g8fjg-5pi,G6GZH",95,11:02:01,52.465855,-0.989184," 2,816 ",527,5.27,5.368,181,11,2.79,27.9,134,703,30,,,
"$$KEW02,96,11:02:31,52.465034,-0.989365,2881,307,162,11,2824,172,703,40*6975","BUZZ_LORA1,G7PMO_PiRx,G8KNN,g8fjg-5pi,G6GZH",96,11:02:31,52.465034,-0.989365," 2,881 ",307,3.07,5.18,162,11,2.82,28.2,172,703,40,,,
"$$KEW02,97,11:03:01,52.464245,-0.989591,2952,490,161,9,2819,212,703,50*B640","BUZZ_LORA1,G7PMO_PiRx,G6GZH,g8fjg-5pi,G8KNN",97,11:03:01,52.464245,-0.989591," 2,952 ",490,4.9,5.362,161,9,2.82,28.2,212,703,50,,,
"$$KEW02,98,11:03:28,52.463593,-0.989812,3020,675,152,10,2804,257,703,60*0610","G7PMO_PiRx,G6GZH,g8fjg-5pi,G8KNN",98,11:03:28,52.463593,-0.989812," 3,020 ",675,6.75,4.776,152,10,2.8,28,257,703,60,,,
"$$KEW02,99,11:04:00,52.462822,-0.989899,3081,389,162,11,2795,296,703,70*1130","G6GVI_LoRa,G7PMO_PiRx,G8KNN,g8fjg-5pi,G6GZH",99,11:04:00,52.462822,-0.989899," 3,081 ",389,3.89,4.552,162,11,2.79,27.9,296,703,70,,,
"$$KEW02,100,11:04:30,52.462265,-0.989925,3149,415,164,10,2765,338,703,80*3ACE","G6GVI_LoRa,G7PMO_PiRx,G6GZH,g8fjg-5pi,G8KNN",100,11:04:30,52.462265,-0.989925," 3,149 ",415,4.15,5.38,164,10,2.77,27.7,338,703,80,,,
"$$KEW02,101,11:05:03,52.461521,-0.990303,3211,721,181,10,2809,378,703,90*9717","G6GVI_LoRa,G7PMO_PiRx,G6GZH,g8fjg-5pi,G8KNN",101,11:05:03,52.461521,-0.990303," 3,211 ",721,7.21,5.34,181,10,2.81,28.1,378,703,90,,,
"$$KEW02,102,11:05:27,52.460918,-0.990592,3249,470,205,10,2790,417,703,100*745D","G6GVI_LoRa,G7PMO_PiRx,G8KNN,g8fjg-5pi,G6GZH",102,11:05:27,52.460918,-0.990592," 3,249 ",470,4.7,5.46,205,10,2.79,27.9,417,703,100,,,
